questionID	originalQuestionID	totalPossiblePoint	AnswerKey	isMultipleChoiceQuestion	includesDiagram	examName	grade	year	AnswerKey	Question Topic(s) (J)	Question	subject	category	fold
Mercury_SC_405198	405198	1	D	1	0	Mercury	3	2015	D	LIFE_INTERDEP_ENVCH	Which of these will most likely increase a plant population in a habitat? (A) strong winds (B) freezing temperatures (C) fewer days of sunshine (D) more days of rain showers		Train	Challenge
Mercury_SC_415013	415013	1	B	1	0	Mercury	3	2015	B	EARTH_INNER_INTHEAT, EARTH_INNER_PLATE_VOLC	Which rapid changes are caused by heat from inside Earth? (A) landslides (B) volcanoes (C) avalanches (D) floods		Train	Easy
Mercury_SC_405298	405298	1	C	1	0	Mercury	3	2015	C	OTHER	Which invention will best help people travel quickly to far away places? (A) car (B) boat (C) airplane (D) skateboard		Train	Easy
VASoL_2007_3_6	6	1	C	1	0	Virginia Standards of Learning - Science	3	2007	C	EARTH_HUMIMP_WHAT	A wetland habitat can continue to support the birds and fish that live there if people ___. (A) drain the water away (B) flood the highest parts of the land (C) leave the land alone (D) use the land for planting crops		Train	Challenge
Mercury_SC_416525	416525	1	A	1	0	Mercury	3	2015	A	LIFE_FUNCT_FEATANDFUNCT_PLANT	Randall is picking lettuce from his garden for dinner. His mother told him to leave some leaves on each plant. Why is it important to leave some leaves on the plant? (A) Leaves help the plant make food. (B) Leaves help the plant absorb water. (C) Leaves help the plant stand upright. (D) Leaves help the plant make seeds.		Train	Easy
VASoL_2010_3_38	38	1	B	1	0	Virginia Standards of Learning - Science	3	2010	B	EARTH_HUMIMP_RES_SOIL, HUMAN_IMPACT_WHAT	A company plants trees on a bare hillside. Which of these is the BEST reason for planting the trees? (A) The trees provide oxygen for the soil. (B) The trees prevent soil from washing away. (C) The trees make shade for animals living there. (D) The trees cause animals to move to other places.		Train	Easy
Mercury_SC_405207	405207	1	C	1	0	Mercury	3	2015	C	OTHER	Which activity has the invention of the light bulb helped the most? (A) swimming (B) walking (C) reading (D) talking		Train	Challenge
Mercury_SC_415703	415703	1	B	1	0	Mercury	3	2015	B	FOR_FRICTION, FOR_INTWITHOBJ	One cause of heat in a car engine is caused by friction between parts. Which of these reduces the amount of heat produced by friction? (A) fan (B) oil (C) gasoline (D) battery		Train	Easy
VASoL_2008_3_22	22	1	D	1	0	Virginia Standards of Learning - Science	3	2008	D	LIFE_FUNCT_FEATANDFUNCT_PLANT_REPRODUCTION	A sign that an apple tree is going to start growing apples is when the tree has ___. (A) roots (B) seeds (C) leaves (D) flowers		Train	Challenge
VASoL_2009_3_3	3	1	A	1	0	Virginia Standards of Learning - Science	3	2009	A	OTHER	Which of these lists has only products that come from plants? (A) Paper, spices, and fibers (B) Wool, lumber, and butter (C) Medicines, leather, and milk (D) Cotton, rubber, and eggs		Train	Easy
VASoL_2009_3_13	13	1	B	1	0	Virginia Standards of Learning - Science	3	2009	B	LIFE_INTERDEP_ABIOTIC	Which of these is a nonliving part of a forest? (A) Tree (B) Soil (C) Worm (D) Mushroom		Train	Easy
Mercury_SC_415014	415014	1	A	1	0	Mercury	3	2015	A	EARTH_WEATHER_EXTREME	Which rapid changes can be caused by storms? (A) landslides and flooding (B) flooding and earthquakes (C) landslides and volcanoes (D) volcanoes and earthquakes		Train	Easy
VASoL_2008_3_14	14	1	A	1	0	Virginia Standards of Learning - Science	3	2008	A	EARTH_WEATHER	Which of these is the BEST reason to study weather? (A) To be prepared for storms (B) To learn how fossils are formed (C) To see changing phases of the Moon (D) To find ways for animals to live longer		Train	Easy
Mercury_SC_407137	407137	1	C	1	0	Mercury	3	2015	C	LIFE_FUNCT_FEATANDFUNCT_PLANT	Plants use nutrients found in soil. Which of these can break down in soil and become nutrients? (A) air (B) water (C) leaves (D) sunlight		Train	Challenge
Mercury_SC_406702	406702	1	D	1	0	Mercury	3	2015	D	LIFE_ENVADP_ADAP_ANIM_STRUCT_CAMO	A lizard most likely would be protected from its enemies if it has which characteristic? (A) claws to catch prey (B) a long tail to climb trees (C) eyes that can see far distances (D) skin color that matches its habitat		Train	Easy
Mercury_SC_416518	416518	1	A	1	0	Mercury	3	2015	A	MAT_COS_TEMP	A mountain with a melting glacier has a stream with a waterfall. The waterfall fills a lake at the base of the mountain. Where is the water coldest? (A) glacier (B) stream (C) waterfall (D) lake		Train	Challenge
VASoL_2008_3_24	24	1	B	1	0	Virginia Standards of Learning - Science	3	2008	B	MAT_MEAS_INST_COMPASS	While a sailor was out fishing, he got lost at sea. Which object would help him direct the boat back to shore? (A) Rope (B) Magnetic compass (C) Blanket (D) Measuring tape		Train	Easy
Mercury_SC_413304	413304	1	B	1	0	Mercury	3	2015	B	PROPO_MAT	Which material is the best natural resource to use for making water-resistant shoes? (A) cotton (B) leather (C) plastic (D) wool		Train	Easy
Mercury_SC_417556	417556	1	A	1	0	Mercury	3	2015	A	EARTH_HUMIMP_WHAT_HABITATDEST	A town built a road through a forest. Deer live in the forest on both sides of the road. Which would not help protect deer from the cars on the road? (A) feeders on the side of the road (B) lights along the side of the road (C) signs telling drivers to be careful of deer (D) bridges that let the deer walk under the road		Train	Challenge
Mercury_SC_413141	413141	1	B	1	0	Mercury	3	2015	B	MAT_MEAS_UNIT_MASS	Which measurement represents the mass of an object? (A) 35 centimeters (B) 35 grams (C) 35 liters (D) 35 degrees		Train	Easy
