questionID	originalQuestionID	totalPossiblePoint	AnswerKey	isMultipleChoiceQuestion	includesDiagram	examName	gradeLevel	year	AnswerKey	Question Topic(s) (Z)	Question Topic(s) (J)	agreement	specdiff	todo/no consensus	same	different	consensus	comments	Question	subject	category	fold
VASoL_2007_3_23	23	1	C	1	0	Virginia Standards of Learning - Science	3	2007	C	LIFE_FUNCT_FUNCT_ANIMESS	LIFE_CONTL_GROWTH_PROC	0.00	0	0		LIFE_CONTL_GROWTH_PROC, LIFE_FUNCT_FUNCT_ANIMESS	LIFE_INTERDEP_FOODCHAIN_SUN		A dog gets the energy it needs to run from ___. (A) the air (B) the Sun (C) food (D) water		Train	Easy
Mercury_SC_416515	416515	1	C	1	0	Mercury	3	2015	C	LIFE_INTERDEP_ECOFEATURES	LIFE_INTERDEP_ECOFEATURES	1.00	0	0	LIFE_INTERDEP_ECOFEATURES		LIFE_INTERDEP_ECOFEATURES		Which body of water has the fewest plants and animals living in it? (A) ocean (B) stream (C) glacier (D) estuary		Train	Challenge
Mercury_SC_415480	415480	1	A	1	0	Mercury	3	2015	A	LIFE_FUNCT_FUNCT_ANIMESS	EARTH_WEATHER_EXTREME, LIFE_INTERDEP_ENVCH	0.00	0	0		EARTH_WEATHER_EXTREME, LIFE_INTERDEP_ENVCH, LIFE_FUNCT_FUNCT_ANIMESS	LIFE_FUNCT_ENVCOND_ANIM		Which change would most likely increase the number of salamanders? (A) flood (B) drought (C) fire (D) landslide		Train	Challenge
Mercury_SC_413141	413141	1	B	1	0	Mercury	3	2015	B	MAT_MEAS_UNIT_MASS	MAT_MEAS_UNIT_MASS	1.00	0	0	MAT_MEAS_UNIT_MASS		MAT_MEAS_UNIT_MASS		Which measurement represents the mass of an object? (A) 35 centimeters (B) 35 grams (C) 35 liters (D) 35 degrees		Train	Easy
Mercury_SC_405233	405233	1	C	1	0	Mercury	3	2015	C	LIFE_ENVADP_ADAP_ANIM_BEHAV_MIGR, LIFE_INTERDEP_ENVCH	EARTH_HUMIMP_WHAT_HABITATDEST, LIFE_INTERDEP_ENVCH	0.33	0	0	LIFE_INTERDEP_ENVCH	EARTH_HUMIMP_WHAT_HABITATDEST, LIFE_ENVADP_ADAP_ANIM_BEHAV_MIGR	LIFE_FUNCT_ENVCOND_ANIM		Deer live in forest for shelter. If the forest was cut down, which situation would most likely happen? (A) The deer would find shelter in a different habitat. (B) The deer would wait for the forest to grow back. (C) The deer would move to another forest area. (D) The deer would change the type of foods they eat.		Train	Easy
VASoL_2009_3_30	30	1	B	1	0	Virginia Standards of Learning - Science	3	2009	B	MAT_PROPMATERIAL_HARD	LIFE_FUNCT_FEATANDFUNCT_ANIM_SKININTERGUM	0.00	0	0		LIFE_FUNCT_FEATANDFUNCT_ANIM_SKININTERGUM, MAT_PROPMATERIAL_HARD	MAT_PROPMATERIAL_HARD		Which of these BEST describes the way a feather feels? (A) Colorful (B) Soft (C) Low (D) Bright		Train	Easy
Mercury_SC_413301	413301	1	D	1	0	Mercury	3	2015	D	MAT_MEAS_INST_THERM	MAT_MEAS_INST_THERM	1.00	0	0	MAT_MEAS_INST_THERM		MAT_MEAS_INST_THERM		The water in a pond gets colder one night. Which tool is best to observe its temperature change? (A) balance (B) magnifying glass (C) ruler (D) thermometer		Train	Easy
Mercury_SC_413304	413304	1	B	1	0	Mercury	3	2015	B	MAT_PROPMATERIAL	PROPO_MAT	0.00	0	0		PROPO_MAT, MAT_PROPMATERIAL	MAT_PROPMATERIAL		Which material is the best natural resource to use for making water-resistant shoes? (A) cotton (B) leather (C) plastic (D) wool		Train	Easy
Mercury_SC_407137	407137	1	C	1	0	Mercury	3	2015	C	LIFE_FUNCT_FEATANDFUNCT_PLANT	LIFE_FUNCT_FEATANDFUNCT_PLANT	1.00	0	0	LIFE_FUNCT_FEATANDFUNCT_PLANT		LIFE_FUNCT_FEATANDFUNCT_PLANT		Plants use nutrients found in soil. Which of these can break down in soil and become nutrients? (A) air (B) water (C) leaves (D) sunlight		Train	Challenge
Mercury_SC_413081	413081	1	A	1	0	Mercury	3	2015	A	LIFE_INTERDEP_ECOFEATURES	LIFE_INTERDEP_ECOFEATURES	1.00	0	0	LIFE_INTERDEP_ECOFEATURES		LIFE_INTERDEP_ECOFEATURES		What is a main feature of plains? (A) a flat, level surface (B) a high, steep peak (C) a low, shallow basin (D) a gentle, gradual slope		Dev	Easy
Mercury_SC_406987	406987	1	B	1	0	Mercury	3	2015	B	EARTH_HUMIMP_RES_SOIL	EARTH_HUMIMP_RES_SOIL	1.00	0	0	EARTH_HUMIMP_RES_SOIL		EARTH_HUMIMP_RES_SOIL		Which best explains how most soils are alike? (A) Most soils have many rocks. (B) Most soils are found in layers. (C) Most soils hold the same amounts of water. (D) Most soils have the same texture.		Train	Challenge
VASoL_2007_3_31	31	1	A	1	0	Virginia Standards of Learning - Science	3	2007	A	EARTH_HUMIMP_WHAT_HABITATDEST	MAT_STATES_LIQUID	0.00	0	0		MAT_STATES_LIQUID, EARTH_HUMIMP_WHAT_HABITATDEST	EARTH_HUMIMP_WHAT_HABITATDEST		If a wooded area is cleared and corn is planted, what will MOST likely happen? (A) Animal habitats will be destroyed. (B) The air will become polluted. (C) Weather patterns will change. (D) Underground streams will get polluted.		Train	Easy
Mercury_SC_416158	416158	1	A	1	0	Mercury	3	2015	A	LIFE_FUNCT_FEATANDFUNCT_ANIM_STRUCT_SKELETAL	LIFE_FUNCT_FEATANDFUNCT_ANIM_SKELETAL	0.00	0	0		LIFE_FUNCT_FEATANDFUNCT_ANIM_SKELETAL, LIFE_FUNCT_FEATANDFUNCT_ANIM_STRUCT_SKELETAL	LIFE_FUNCT_FEATANDFUNCT_ANIM_SKELETAL		What are the two main jobs of the skeletal system? (A) support and protect the body (B) digest food and carry messages for the body (C) get rid of wastes and defend the body from disease (D) sense changes in the environment and carry food through the body		Train	Easy
VASoL_2007_3_8	8	1	D	1	0	Virginia Standards of Learning - Science	3	2007	D	MAT_PROPMATERIAL_TASTE	LIFE_FUNCT_FEATANDFUNCT_ANIM_SENSES	0.00	0	0		LIFE_FUNCT_FEATANDFUNCT_ANIM_SENSES, MAT_PROPMATERIAL_TASTE	MAT_PROPMATERIAL_TASTE		Which sense is used to tell if there is sugar in a glass of tea? (A) Touch (B) Hearing (C) Smell (D) Taste		Train	Easy
Mercury_SC_411888	411888	1	B	1	0	Mercury	3	2015	B	EARTH_HUMIMP_WHAT_RECY	MAT_PROPMATERIAL_CLASS	0.00	0	0		MAT_PROPMATERIAL_CLASS, EARTH_HUMIMP_WHAT_RECY	EARTH_HUMIMP_WHAT_RECY		Which material is most easily recycled at school? (A) plastic wrap (B) notebook paper (C) ice cream sticks (D) rubber erasers		Train	Easy
