PROCESS_NAME	[FILL] means/a	[FILL] the	PROPERTY	[FILL] of	OBJECT	QUANTIFIER/SCOPE	QUALIFIER	VERB	WHAT	[FILL] from	FROM	[FILL] into	INTO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
PROCESS_NAME	[FILL] means/a	[FILL] the	PROPERTY	[FILL] of	OBJECT	QUANTIFIER/SCOPE	QUALIFIER	VERB	WHAT	[FILL] from	FROM	[FILL] into	INTO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY_THROUGH_HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
boiling	means	the	state of matter	of	a substance			changes		from a	liquid	into a	gas			by	increasing heat energy					a0b2-a45f-01e1-4bf4	
melting	means	the	state of matter	of	a substance			changes		from a	solid	into a	liquid			by	increasing heat energy					6abc-4443-f672-9a97	
freezing	means	the	state of matter	of	a substance			changes		from a	liquid	into a	solid			by	decreasing heat energy					f03c-decc-030f-b860	
condensing	means	the	state of matter	of	a substance			changes		from a	gas	into a	liquid			by	decreasing heat energy					2aba-39fa-3a07-5ee4	
change of state;phase change	means	the	state of matter	of	a substance			changes		from	one state of matter	into	another state of matter									590d-b5d5-01fa-d830	
	a				hydroelectric dam			changes			gravitational potential energy of dammed water	into	electrical energy							# add other types (e.g. water wheel, tidal power)		4bc7-feb3-4404-42b1	
	a				fossil fuel power station			changes			fossil fuel	into	electrical energy									5eb3-9183-2615-f0b8	
	a				natural gas power station			changes			natural gas	into	electrical energy									32eb-dc10-7792-f86d	
	a				coal power station			changes			coal	into	electrical energy									bce2-ce00-5994-4379	
	a				wind farm			changes			wind energy	into	electrical energy									6c90-d908-cbe3-6e2f	
	a				solar farm			changes			solar energy	into	electrical energy									d356-48ee-74d3-460f	
	a				nuclear power plant			changes			nuclear energy	into	electrical energy									aca2-074d-cab8-0682	
	a				geothermal power plant			changes			geothermal energy	into	electrical energy									b4fe-c886-232b-2c20	
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
