[FILL] a/the	HYPONYM	[FILL] is	USUALLY/SOMETIMES	[FILL] a kind of	SCOPE	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
[FILL] a/the	HYPONYM	[FILL] is	USUALLY/SOMETIMES	[FILL] a kind of	SCOPE	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
	ontology_root1					ontology_root								1939-3c84-4b23-6795
	abstraction					entity								8f00-394c-772b-b5cf
	physical entity					entity								fb27-6bee-a1e4-d195
	action					ontology_root1								21ac-1c97-6444-e425
	attribute					abstraction								9c70-c5cc-d211-7e0d
	property					attribute								e669-db86-0d61-e874
	visual property					property								8df8-eb4f-e9ab-1199
	color					visual property								a948-456a-2a82-b469
	object					physical entity								72cc-6283-bccd-cc0a
	matter					physical entity								1c54-d24a-079f-d1a9
	unit					abstraction								31d5-0988-be9f-1ace
	distance unit					unit								3eca-be2e-aafd-576e
	time unit					unit								718c-84c8-aaec-9068
	volume unit					unit								d758-4b06-e941-a5f3
	mass unit					unit								f542-da87-6ae6-7d78
	meter					distance unit								8c97-2a36-9ee2-12b7
	centimeter					distance unit								87ef-085e-db99-44ef
	millimeter					distance unit								1f7c-74fe-4661-e133
	kilometer					distance unit								7264-ecf0-768e-89be
	mile					distance unit								f634-4517-f2ba-2167
	yard					distance unit								0beb-817a-8570-5a89
	micron					distance unit								c8cd-6c76-2374-3638
	nanometer					distance unit								81e9-2808-9d20-ec41
	micrometer					distance unit								8a69-fdb8-a808-f937
	lightyear					distance unit								32b8-9469-e3a8-0407
	gram					mass unit								33bf-6fc8-9e4a-d557
	kilogram					mass unit								136e-8e37-78fc-5c07
	milligram					mass unit								284f-55be-8f22-50f1
	microgram					mass unit								f0b2-df48-7787-d7fc
	pound					mass unit								f489-fd9b-17e2-ef0d
	ounce					mass unit								d6ad-8bac-5b52-bdb6
	millisecond					time unit								3f67-1c49-d42b-4bb2
	nanosecond					time unit								8f69-55c4-9bb3-a6d3
	microsecond					time unit								da59-e52f-e7ef-4e93
	second					time unit								9f35-d2dc-b076-f718
	minute					time unit								2709-79ad-43a8-4d5b
	hour					time unit								3c36-f94b-ab51-2a4f
	day					time unit								ba4a-4c44-85f0-96d6
	month					time unit								f8f0-97d9-e580-526a
	year					time unit								886b-53e4-068f-9b0d
	decade					time unit								f2c8-d814-4039-86f2
	century					time unit								e683-d94a-febd-c524
	millenium					time unit								1f50-3d4e-8438-9d76
	eon					time unit								356b-2695-be02-55c9
	liter					volume unit								d4bd-7d0b-24e8-1370
	milliliter					volume unit								1a49-2b13-d7ab-5b48
	microliter					volume unit								54e0-a0ab-fd82-2e72
	nanoliter					volume unit								2d0a-f38e-67f8-9241
	gallon					volume unit								2211-551f-44f8-6225
	cubic foot					volume unit								c178-f7ea-7295-3b10
	cubic meter					volume unit								66a4-9b81-4771-17ab
	pressure unit					unit								4e61-3b45-8879-fbb6
	pascal					pressure unit								29fc-cace-e1e7-a8de
	torr					pressure unit								19ed-1172-569d-a739
	electromagnetic unit					unit								d2d1-888f-48a4-50fc
	resistance unit					electromagnetic unit								8f37-0488-ec2b-42e5
	ohm					resistance unit								d9ae-4506-41d3-c5d9
	radioactivity unit					electromagnetic unit								ba81-649a-8505-a065
	curie					radioactivity unit								eed5-d316-3685-661b
	roentgen					radioactivity unit								28a8-c62a-4179-2179
	rem					radioactivity unit								0c45-3adc-a84e-3884
	rad					radioactivity unit								a695-11fa-79b0-a707
	gray@1					radioactivity unit								914b-802d-92a9-819a
	power unit					electromagnetic unit								d0e2-5ddb-c2b4-cba9
	watt					power unit								984b-0a71-6527-9e83
	potential unit					electromagnetic unit								c387-3eda-e065-df5d
	volt					potential unit								4f42-96f8-c9fd-211a
	illumination unit					electromagnetic unit								3078-95f2-a31f-fe8f
	lux					illumination unit								aed2-4480-d50d-f092
	inductance unit					electromagnetic unit								96fa-3368-3b34-3907
	henry					inductance unit								f245-f0c4-ce3d-82fa
	magnetic intensity					electromagnetic unit								410b-43ff-42aa-2952
	gauss					magnetic unit								6a96-e01b-5234-fed6
	tesla					magnetic unit								cd6e-0e24-9aa3-01c7
	current unit					electromagnetic unit								b811-7b66-39e7-3348
	ampere					current unit								99c2-ad4d-736e-840c
	charge unit					electromagnetic unit								425a-8dee-9ac2-3a61
	coulomb					charge unit								e498-0526-8057-e664
	capacitance unit					electromagnetic unit								3756-ca4a-9da5-9bf7
	farad					capacitance unit								6eed-41f4-db46-4af9
	dwarf planet					planet								cedb-43bd-88fa-50e6
	natural celestial object					celestial object								e88b-118e-9298-d718
	nebula					natural celestial object								5aee-9154-0bbe-45ea
	planet					natural celestial object								f839-94a0-a240-4b00
	star					natural celestial object								06d7-d8fb-2f09-90a2
	galaxy					natural celestial object								00b6-1de7-2328-fef5
	comet					natural celestial object								b94d-407b-7a69-5497
	asteroid					natural celestial object								669d-a4ca-13ad-8ef3
	terrestrial planet					planet								f115-69ed-7470-8ba7
	giant planet					planet								3651-a69e-27a7-ca90
	gas giant					giant planet								3e5b-6cfd-0247-6b29
	ice giant					giant planet								2377-d548-b956-3924
	pluto					dwarf planet								eea6-7f1f-804b-563f
	ceres					dwarf planet								4d06-9b23-ff19-fa20
	vesta					dwarf planet								63a5-99f1-ee85-b02e
	eris					dwarf planet								28c7-247c-8078-bcd0
	jupiter					gas giant								2be7-a28f-8abb-490c
	saturn					gas giant								0306-1953-6d40-8875
	neptune					ice giant								661e-85a8-33b5-1587
	uranus					ice giant								b9cb-8b3e-801c-51dd
	mercury@1					terrestrial planet								5edd-2c02-a7e5-be41
	venus					terrestrial planet								ce57-0181-3f12-80f5
	earth					terrestrial planet								dd9c-d8fe-8a21-6831
	mars					terrestrial planet								5c3e-a285-ee63-6585
	milky way					galaxy								5a46-2614-b082-920d
	andromeda					galaxy								c562-4828-e33f-a818
	sun					star								bcf6-1c73-fb22-0639
	alpha centauri a					star								5360-0007-32eb-de5f
	alpha centauri b					star								f851-c0ac-bebc-55f8
	proxima centauri					star								29c7-2151-19cd-3512
	barnard's star					star								1c4b-ea4a-1cc3-cce3
	wold 359					star								e25c-2463-2044-e28d
	lalande 21185					star								3c90-8df0-ed63-65bb
	sirius					star								20d5-9a8e-101a-0075
	epsilon eridani					star								4d9c-0e5f-d806-c6bc
	procyon					star								feca-426f-2035-7ac3
